Scale_Factor de_dev de_test_full de_test_ident fi_dev fi_test_full fi_test_ident it_dev it_test_full it_test_ident
1.0000000 0.00% 0.13% 30.07% 0.00% 0.07% 27.81% 0.00% 0.07% 27.67%
0.5000000 0.20% 0.27% 30.13% 0.00% 0.00% 27.81% 0.10% 0.07% 27.67%
0.3333333 6.20% 3.53% 31.00% 2.20% 1.54% 28.30% 1.40% 0.73% 27.87%
0.2500000 49.60% 46.80% 47.87% 12.90% 6.18% 30.83% 44.00% 32.47% 38.27%
0.2000000 56.70% 49.47% 51.67% 31.20% 25.77% 37.50% 61.30% 48.60% 45.67%
0.1666667 61.90% 50.20% 53.67% 38.40% 26.33% 40.10% 65.30% 49.33% 46.93%
0.1428571 62.90% 50.13% 54.80% 44.20% 29.07% 41.92% 67.70% 49.13% 47.27%
0.1250000 63.80% 50.33% 55.40% 43.10% 29.63% 43.54% 69.50% 48.40% 47.13%
0.1000000 64.60% 49.00% 55.33% 47.00% 29.56% 43.96% 68.60% 46.93% 47.33%
0.0625000 64.80% 44.40% 53.60% 46.20% 27.88% 43.47% 68.00% 42.60% 45.47%
0.0000010 64.90% 40.07% 51.27% 47.60% 27.74% 43.40% 66.80% 37.33% 43.13%
