Scale_Factor de_dev de_test_full de_test_ident fi_dev fi_test_full fi_test_ident it_dev it_test_full it_test_ident
2.0000000 65.60% 43.93% 52.13% 48.40% 28.44% 42.28% 66.20% 39.93% 44.27%
1.0000000 66.30% 43.73% 52.20% 47.40% 28.16% 41.99% 66.40% 39.93% 44.27%
0.5000000 65.90% 43.13% 52.20% 47.90% 27.60% 42.06% 67.80% 40.93% 44.27%
0.3333333 65.80% 42.00% 52.07% 48.30% 27.39% 41.92% 68.00% 41.07% 44.87%
0.2500000 65.70% 42.27% 52.40% 47.00% 27.95% 42.56% 68.00% 41.20% 45.00%
0.2000000 66.10% 41.53% 52.07% 47.40% 27.32% 42.70% 68.10% 40.80% 44.73%
0.1666667 64.90% 42.13% 52.40% 46.50% 27.53% 42.42% 68.10% 40.07% 44.27%
0.1428571 65.20% 41.60% 52.40% 45.80% 28.16% 42.77% 68.00% 39.73% 44.07%
0.1250000 65.60% 41.33% 52.20% 45.70% 27.74% 42.77% 68.00% 39.87% 44.07%
0.1000000 65.80% 41.07% 51.87% 45.50% 27.46% 42.42% 68.20% 40.00% 44.13%
0.0625000 65.70% 40.87% 51.93% 45.50% 26.69% 42.42% 67.40% 40.13% 44.53%
0.0000010 65.40% 40.33% 51.80% 45.50% 26.54% 42.56% 67.70% 39.40% 44.07%
